,Longitude,Latitude,S_vel_5km,S_vel_10km,S_vel_15km,S_vel_20km,S_vel_25km,S_vel_30km,S_vel_35km,S_vel_40km
259,-77.5,7.0,2.81941,3.27092,3.28336,3.58896,4.0805,4.0805,4.1213,4.16252
260,-77.0,7.0,2.82595,3.15947,3.4917,3.5084,3.80058,3.80058,4.0805,4.1213
261,-76.5,7.0,2.88275,3.18802,3.51389,3.5554,3.59856,3.59856,3.82988,4.0805
262,-76.0,7.0,2.97835,3.35696,3.53129,3.5912,3.68068,3.68068,3.78862,4.09788
263,-75.5,7.0,3.30305,3.50687,3.53129,3.69588,3.87637,3.87637,3.91514,3.95429
264,-75.0,7.0,3.30621,3.7226,3.74853,3.78601,3.838,3.838,3.87637,3.91514
265,-74.5,7.0,3.2162,3.37296,3.53129,3.69588,3.87637,3.87637,3.91514,3.95429
266,-74.0,7.0,2.97011,3.14748,3.42947,3.69588,3.87637,3.87637,3.91514,3.95429
267,-73.5,7.0,2.91159,3.0694,3.38079,3.69588,3.87637,3.87637,3.91514,3.95429
268,-73.0,7.0,2.98503,3.24683,3.51389,3.69588,3.87637,3.87637,3.91514,3.95429
269,-72.5,7.0,3.0571,3.42193,3.53129,3.60262,3.68824,3.68824,3.82059,3.95429
270,-72.0,7.0,3.0099,3.40373,3.42743,3.46171,3.50923,3.50923,3.54432,3.6528
271,-71.5,7.0,2.99967,3.33689,3.39349,3.46854,3.57243,3.57243,3.58568,3.84462
272,-71.0,7.0,3.06011,3.24286,3.46205,3.5202,3.62671,3.62671,3.82768,4.13692
273,-81.0,6.5,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
274,-80.5,6.5,3.13854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
275,-80.0,6.5,3.21811,3.33577,3.3581,3.71751,4.1213,4.1213,4.16252,4.20415
276,-79.5,6.5,3.33059,3.34328,3.70786,4.0805,4.16252,4.16252,4.20415,4.24619
277,-79.0,6.5,3.26496,3.2774,3.67481,4.0805,4.16252,4.16252,4.20415,4.24619
278,-78.5,6.5,3.13756,3.14952,3.61062,4.0805,4.16252,4.16252,4.20415,4.24619
279,-78.0,6.5,2.94055,3.31619,3.34976,3.71871,4.1213,4.1213,4.16252,4.20415
