,Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Moho Depth (m),Magnetic Anomaly (nT),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault,Curie Depth (Km),Vertical Gravity Gradient (E),Free Air Anomaly (mGal),Bouguer Anomaly (mGal),Nearest Basement,Nearest Volcano,Volcanic domain,Volcanic weight,Gradient Weight,sample_weight
3358,2.957096,-75.183186,696.7728000000001,24.716136,26.14806555305376,44745.68900731367,-6.433,10306.93461618532,25183.512423736087,4140.58451357878,14129.228758662952,13992.234313381136,177395.5289599016,15093.708550042047,32.0,-55.0,1.0249939,-125.3230564701006,1035.5056316647283,94093.40889040414,False,8,0.030196779781810738,0.2415742382544859
3360,2.946783,-75.193833,587.9592,25.260204,25.20544186603363,44756.39506817808,-6.433,9000.973413167427,26799.49323618596,4299.875730034427,12895.382333426707,15188.38067882144,176687.49119835097,13462.447654932716,32.0,-52.625,1.0249939,-125.81596827436124,1115.0931594999795,92872.67925237388,False,8,0.030196779781810738,0.2415742382544859
3361,2.94175,-75.19816,605.3328,25.173336,21.44011102578349,44760.83442905569,-6.433,8410.803648616275,27509.25906396925,4503.516059639841,12424.581697032554,15705.087578468603,176436.671048958,12745.919974935545,32.0,-52.625,1.0249939,-125.81596827436124,1629.5966662424096,92378.30231007098,False,8,0.025810397464672823,0.2064831797173826
3362,2.938111,-75.205176,628.8024,25.055988,23.58281838385894,44777.14936156677,-6.433,8008.201089952148,28381.118586981007,5137.45894382392,11669.649496990643,16519.22434851112,175854.0153890568,11878.11914910741,32.0,-52.625,1.0249939,-135.29559460274277,2162.627306879049,91590.65410853025,False,8,0.025460030083559126,0.203680240668473
3363,2.949122,-75.197225,587.0,25.265,23.883947542832207,44769.62739582764,-6.433,9230.3602690243,26973.242877073524,4755.65477283032,12521.872157837865,15554.969578473489,176243.0815869798,13319.3233529576,32.0,-52.625,1.0249939,-125.81596827436124,808.5517621539852,92503.01156254487,False,8,0.025460030083559126,0.203680240668473
3364,2.948992,-75.19715,587.0,25.265,22.31982780896193,44769.21285961401,-6.433,9216.460073009936,26974.020157350573,4741.263381747791,12529.865861354334,15547.085429370629,176255.97625556486,13316.981298754945,32.0,-52.625,1.0249939,-125.81596827436124,822.4477631356526,92510.91905921615,False,8,0.025810397464672823,0.2064831797173826
3365,2.952069,-75.195656,650.0,24.95,23.66030656725922,44769.82958870841,-6.433,9566.550805045848,26650.70830727898,4781.273875287294,12708.328902226092,15373.850230083048,176291.07164630856,13658.919347168205,32.0,-59.15625,1.0249939,-130.94162533170385,497.18327633629355,92687.6884754575,False,8,0.025460030083559126,0.203680240668473
3366,4.932814,-72.734411,409.3464,26.153268,25.62126350291273,38116.84188651164,-18.3944,20733.182141941583,52232.752840830566,797.2360273387666,84471.91839349616,33182.42830843472,163638.40795559302,6854.244379710722,36.0,0.34375,-29.850006,-74.87060537452734,39451.32741942421,259126.67759605552,False,8,0.030196779781810738,0.2415742382544859
3367,9.096636,-72.904837,148.1328,27.459336,27.352873647332743,34037.8449103744,35.5748,23778.933873520327,51812.51300653672,7220.995371765338,123958.93320944958,60273.09263291136,270973.51663778845,2874.2946852648192,30.0,-9.3125,-20.700012,-40.79537869745998,13897.037370188136,443697.5022190962,False,8,0.04328205068507562,0.34625640548060493
3368,9.103358,-72.895728,79.5528,27.802236,26.79425765913173,33973.98874921243,35.5748,25026.28351154881,52352.9372758768,8250.799593386346,123254.10868877804,61332.00409349988,272091.92376944976,2549.771399436771,30.0,-9.3125,-20.700012,-43.207768589470405,15058.433554213838,444850.25768822886,False,8,0.04328205068507562,0.34625640548060493
3369,9.133256,-72.881714,35.3568,28.023216,16.88574982996414,33774.83790556579,35.476,28303.8477628925,52343.76947508673,11895.10549667434,120026.54864966928,62347.95889506986,275738.0232895934,1779.83621634802,30.0,-8.75,-2.4500122,-38.54358860739679,17640.135595338656,448479.2093104867,False,8,0.04107055909803993,0.32856447278431944
3370,9.092508,-72.901114,148.4376,27.457812,33.84496202853417,34052.00282343938,35.5748,23836.658787030206,52390.03847485296,6917.709166916878,124429.88849270322,60648.39224991767,270753.67408299894,2268.285282284875,30.0,-9.3125,-20.700012,-40.79537869745998,14188.807576229276,443516.3732879539,False,8,0.12597014134551182,1.0077611307640946
3371,9.125228,-72.885828,188.0,27.26,18.34715997031404,33826.54915454962,35.476,27384.935469267923,52286.07447643941,10901.615475564307,120888.82986837656,62155.55978058886,274741.3802517882,2108.398065043565,30.0,23.6875,-2.4500122,-44.08874457595684,16875.636747685705,447484.920558501,False,8,0.04107055909803993,0.32856447278431944
3372,9.108889,-72.886144,196.0,27.22,40.20063824197145,33917.133390606105,35.5748,26236.052814278497,53021.83851959128,9238.22940124572,122692.13876569326,62437.14042143537,273118.3432264812,1856.2186840400248,30.0,-9.3125,-20.700012,-43.207768589470405,16242.175190713522,445917.5772731898,False,8,0.8884205955681077,7.107364764544862
3373,9.096825,-72.911061,238.0,27.01,25.44648999559969,34055.247397285195,35.5748,23250.527032531085,51201.25808475411,7079.496512677866,123916.61039745963,59592.387946063565,270681.53309728764,3421.7454371452964,30.0,-9.3125,-20.700012,-40.79537869745998,13241.199169704478,443364.30789479817,False,8,0.030196779781810738,0.2415742382544859
