OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length,Basement
22204,n3n4-Sm,,"Lodolitas, algunas calcáreas y nodulares, intercaladas con lentes de calizas y esporádicamente capas de arenitas de grano fino a muy fino.",Langhiano-Serravaliano,Formación Napipí,,f695342f-bc62-4dcb-b854-4c16568e3091,0.0085561295853153,0.496215939672134,no
22205,K1-VCm,,"Basaltos, y lodolitas negras intercaladas con limolitas, arenitas y conglomerados.",Cretácico Inferior,,,66cec3f8-9306-425a-86b8-7f82417fbd9a,0.0009809234136355,0.169596736194448,yes
22206,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,80345eac-f7e9-4ccb-bfda-4d2e7ee41662,0.0654213787394724,2.70623845623916,no
22207,Q1-l,,"Arcillas, turbas, y arcillas arenosas con niveles delgados de gravas. Localmente, capas de depósitos de diatomeas.",Pleistoceno,,,356afa55-807d-4f6a-960f-149dbc02a55b,0.009657973157175,0.742706498044541,no
22210,K2-Vm7,,"Basaltos toleíticos, y doleritas, picritas, tobas básicas y brechas volcánicas.",Cretácico Superior,Basaltos de Baudó,,5a2a3d39-4b4c-418e-b7a4-060a0a470099,0.003634610007964,0.264015646280572,yes
22211,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,Formación Sincelejo,,185e45d5-0423-4644-8b70-681ded562cce,0.0074230954716654,0.497987024257592,no
22212,E3-Sc,,"Arenitas conglomeráticas y conglomerados en la base y el techo; arenitas, arcillolitas y carbones en la parte media.",Oligoceno,Formación Amagá,,ee70d953-eeb2-413f-9c90-7c63379da899,0.0001264966373355,0.09962053006108,no
22213,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,edadc6e5-7440-4a94-9736-d763e51b3c07,0.0021694095951261,0.254094835227203,no
22214,Q1-l,,"Arcillas, turbas, y arcillas arenosas con niveles delgados de gravas. Localmente, capas de depósitos de diatomeas.",Pleistoceno,,,85628d42-4a6c-4625-a7d9-655ac5e24b8a,0.0188276954166327,0.958007143196413,no
22215,K1-Pu,,Peridotitas serpentinizadas intruidas por diques de rodingitas,Cretácico Inferior,Ultramafitas de Cerro Matoso,,c56e2411-3f59-4867-a7ab-27684c927b14,0.0003724826973439,0.0852751708144374,yes
22218,Q-t,,Terrazas aluviales,Cuaternario,,,80040cdd-f9a0-43c2-be3c-ba674e4de358,0.0028105695598696,0.270908557807826,no
22219,Q-t,,Terrazas aluviales,Cuaternario,,,fc532576-1e23-444a-9495-c2ff20b58697,0.0018649879492613,0.280841313011344,no
22220,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,b81d5ac6-31ae-4247-9d12-85e14a27a63f,0.000709348608666,0.258423571638812,no
22221,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,aac854c8-0419-4cc4-819c-3bf140ca678a,0.0035841677224652,0.758004637007818,no
22222,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,a04add03-3b24-4b1e-8e4c-a099bb9e11ff,0.004515773320179,0.735543295700085,no
22223,Q-t,,Terrazas aluviales,Cuaternario,,,c57e24d1-c898-4f27-904c-c912003d7f49,0.0093648914573805,0.821234784460576,no
22224,Q-t,,Terrazas aluviales,Cuaternario,,,b51b02a3-d244-4b7c-9d40-e82026acf444,0.0004065608935661,0.143121855122074,no
22226,Q-t,,Terrazas aluviales,Cuaternario,,,c5922ae8-5701-4249-b822-99db7e01666e,0.0006417147196771,0.130243503628473,no
22228,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,,,96b61e4b-ab08-41d7-8895-f75a814632cf,0.137881574073162,3.56087135280548,no
22229,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,dc2fea87-ce5e-43bd-9c76-0a422cbb2b0b,0.0012335969379933,0.1696850056893,no
22230,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,,,22a2eef3-2caa-4fc7-aff5-cecd2fea639c,0.169924882170278,3.74229704394301,no
22231,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,13ab00df-d713-4efd-acec-446c4a199320,0.0023903860875407,0.35878339494944,no
